season_num,wood_framed,winter,window_frame,windmill,waves,waterfall,triple_frame,trees,tree,tomb_frame,sun,structure,steve_ross,split_frame,snowy_mountain,snow,seashell_frame,rocks,river,rectangular_frame,rectangle_3_d_frame,portrait,person,path,palm_trees,oval_frame,ocean,night,mountains,mountain,moon,mill,lighthouse,lakes,lake,hills,half_oval_frame,half_circle_frame,guest,grass,framed,fog,flowers,florida_frame,fire,fence,farm,double_oval_frame,dock,diane_andre,deciduous,cumulus,conifer,clouds,cliff,cirrus,circle_frame,cactus,cabin,bushes,building,bridge,boat,beach,barn,aurora_borealis,apple_frame
1,0,3,0,0,0,0,0,12,12,0,1,2,0,0,6,2,0,1,2,0,0,0,0,0,0,0,1,1,5,9,1,0,0,0,7,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,6,0,8,4,0,1,0,0,3,5,0,0,0,1,0,0,0
2,0,0,0,0,2,2,0,13,13,0,3,1,0,0,5,2,0,2,3,0,0,0,0,0,0,0,2,0,4,6,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,8,7,7,0,2,0,0,1,7,0,0,0,0,0,0,0
3,0,1,0,0,2,0,0,12,12,0,0,6,1,0,1,1,0,1,2,0,0,0,1,1,1,0,2,2,4,5,1,1,1,0,7,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,10,4,5,5,1,1,0,0,3,4,0,1,0,0,1,0,0
4,0,2,0,0,1,0,0,12,13,0,0,3,0,0,4,2,0,1,1,0,0,0,0,1,0,0,1,0,4,5,0,0,0,0,8,1,0,0,2,7,1,0,0,0,0,0,0,0,0,1,6,4,9,5,1,0,1,0,3,5,0,0,0,1,0,0,0
5,0,1,0,1,1,1,0,9,10,0,1,2,0,0,3,2,0,3,3,0,0,1,0,1,0,0,2,0,3,4,0,0,0,0,5,0,0,0,4,7,0,0,1,0,0,0,0,0,0,0,8,3,3,6,0,0,0,0,0,2,0,0,0,0,2,0,0
6,0,0,0,0,0,1,0,11,12,0,0,1,0,0,3,1,0,2,6,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,4,2,0,0,0,8,0,2,0,0,0,1,0,0,0,0,7,2,7,9,0,3,0,0,2,6,0,0,0,0,1,0,0
7,0,2,0,0,0,2,0,10,12,0,1,4,1,0,4,3,0,1,5,0,0,1,0,1,0,0,0,0,2,4,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,10,5,3,10,0,1,0,0,2,5,0,0,1,0,1,0,0
8,0,4,0,0,0,0,0,11,12,0,1,6,1,0,3,4,0,3,3,1,0,0,0,3,0,0,0,1,4,5,0,0,0,0,4,0,0,0,1,6,2,1,0,0,0,1,0,0,0,0,8,1,9,7,0,1,1,1,6,4,0,0,0,0,0,1,0
9,0,1,0,0,3,0,0,9,10,0,1,2,0,0,7,1,0,3,5,0,0,0,0,2,0,1,3,0,5,9,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,6,5,6,9,1,2,0,0,2,7,0,0,0,3,0,0,0
10,0,2,0,0,2,1,1,11,11,0,2,4,1,0,5,3,0,5,2,0,0,0,0,2,0,1,2,0,4,5,0,0,0,0,5,2,0,0,1,4,2,0,0,0,0,1,0,0,0,0,10,4,7,9,0,1,0,0,3,4,0,1,0,1,0,0,0
11,0,3,0,0,1,3,0,12,12,0,1,4,0,0,3,4,0,4,4,0,0,0,0,2,0,2,1,0,0,3,0,0,0,0,4,0,0,0,0,4,2,0,1,0,0,2,0,0,0,0,8,5,7,10,0,1,0,0,1,6,0,0,0,1,3,0,0
12,0,1,0,0,2,1,0,10,11,0,2,2,0,0,5,1,0,3,8,0,0,0,0,1,1,1,2,1,4,8,0,0,0,0,2,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,7,5,9,8,0,2,0,0,2,7,0,0,0,2,0,0,0
13,0,2,0,0,1,0,0,13,13,0,0,3,0,0,4,2,0,3,7,0,0,0,0,2,0,2,1,1,5,7,0,0,0,0,5,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,8,3,8,8,0,2,0,0,3,5,0,0,0,0,0,0,0
14,0,2,0,0,1,1,0,11,12,1,1,0,1,0,5,2,0,1,5,0,0,0,0,2,1,3,1,1,5,7,0,0,0,0,4,0,0,0,1,6,4,2,0,0,0,1,0,0,0,0,8,5,7,9,0,3,0,0,0,2,0,0,0,1,0,0,0
15,0,3,0,0,1,0,0,11,11,0,1,5,0,0,2,2,0,3,2,0,0,0,0,3,0,2,1,0,4,4,0,0,0,0,4,0,0,0,0,7,2,0,0,0,0,1,0,0,0,0,8,4,5,8,0,3,0,0,4,2,0,0,0,1,1,0,0
16,0,3,0,0,1,2,0,10,10,0,0,3,1,0,3,3,0,3,3,0,0,1,0,1,1,2,1,0,1,3,0,0,0,0,4,1,0,0,2,2,3,2,1,0,0,1,0,1,0,0,6,4,6,7,0,0,0,0,2,3,0,0,0,1,1,0,0
